"Data","Último","Abertura","Máxima","Mínima","Var%"
"Abr 13","2,0010","2,0186","2,0300","1,9633","-1,11%"
"Mar 13","2,0235","1,9760","2,0275","1,9414","2,22%"
"Fev 13","1,9795","1,9908","1,9974","1,9493","-0,54%"
"Jan 13","1,9902","2,0333","2,0508","1,9813","-2,80%"
"Dez 12","2,0475","2,1361","2,1388","2,0387","-4,10%"
"Nov 12","2,1350","2,0310","2,1373","2,0296","5,14%"
"Out 12","2,0306","2,0289","2,0445","2,0157","0,25%"
"Set 12","2,0255","2,0304","2,0454","2,0066","-0,12%"
"Ago 12","2,0280","2,0568","2,0570","2,0056","-1,38%"
"Jul 12","2,0563","2,0062","2,0570","1,9779","2,34%"
"Jun 12","2,0092","2,0226","2,0995","2,0045","-0,64%"
"Mai 12","2,0221","1,9044","2,1065","1,9044","5,98%"
"Abr 12","1,9080","1,8511","1,9118","1,8158","4,51%"
"Mar 12","1,8257","1,7167","1,8374","1,7095","6,35%"
"Fev 12","1,7167","1,7490","1,7494","1,6870","-1,70%"
"Jan 12","1,7463","1,8656","1,8751","1,7316","-6,25%"
"Dez 11","1,8627","1,8078","1,8884","1,7757","3,04%"
"Nov 11","1,8078","1,7167","1,9143","1,7130","5,31%"
"Out 11","1,7167","1,8772","1,9180","1,6710","-8,61%"
"Set 11","1,8785","1,5887","1,9499","1,5887","18,24%"
"Ago 11","1,5887","1,5496","1,6585","1,5450","2,60%"
"Jul 11","1,5485","1,5616","1,5856","1,5280","-0,85%"
"Jun 11","1,5617","1,5783","1,6163","1,5573","-1,13%"
"Mai 11","1,5795","1,5765","1,6458","1,5688","0,19%"
"Abr 11","1,5765","1,6308","1,6308","1,5562","-3,37%"
"Mar 11","1,6315","1,6635","1,6931","1,6207","-1,92%"
"Fev 11","1,6635","1,6669","1,6862","1,6554","-0,21%"
"Jan 11","1,6670","1,6593","1,6965","1,6432","0,46%"
"Dez 10","1,6593","1,7135","1,7220","1,6593","-3,22%"
"Nov 10","1,7145","1,7007","1,7427","1,6685","0,81%"
"Out 10","1,7007","1,6871","1,7254","1,6432","0,81%"
"Set 10","1,6871","1,7544","1,7629","1,6858","-3,86%"
"Ago 10","1,7548","1,7538","1,7835","1,7435","0,05%"
"Jul 10","1,7540","1,8052","1,8138","1,7495","-2,77%"
"Jun 10","1,8039","1,8195","1,8823","1,7488","-0,88%"
"Mai 10","1,8200","1,7372","1,9160","1,7252","4,75%"
"Abr 10","1,7375","1,7832","1,7932","1,7225","-2,58%"
"Mar 10","1,7836","1,8058","1,8302","1,7563","-1,31%"
"Fev 10","1,8072","1,8684","1,8980","1,7874","-4,13%"
"Jan 10","1,8850","1,7291","1,8971","1,7138","8,15%"
"Dez 09","1,7430","1,7497","1,8011","1,6995","-0,71%"
"Nov 09","1,7555","1,7635","1,7805","1,6930","-0,45%"
"Out 09","1,7635","1,7720","1,8074","1,6970","-0,45%"
"Set 09","1,7715","1,8791","1,9218","1,7589","-5,78%"
"Ago 09","1,8802","1,8655","1,9053","1,8071","0,82%"
"Jul 09","1,8650","1,9525","2,0280","1,8610","-4,48%"
"Jun 09","1,9525","1,9715","2,0383","1,9083","-0,96%"
"Mai 09","1,9715","2,1898","2,1898","1,9650","-9,97%"
"Abr 09","2,1898","2,3170","2,3175","2,1585","-5,49%"
"Mar 09","2,3169","2,3906","2,4505","2,2151","-3,12%"
"Fev 09","2,3914","2,3222","2,4085","2,2277","3,08%"
"Jan 09","2,3200","2,3317","2,4010","2,1585","0,24%"
"Dez 08","2,3145","2,3045","2,6218","2,2834","0,48%"
"Nov 08","2,3035","2,1648","2,4787","2,0878","6,44%"
"Out 08","2,1642","1,9035","2,5305","1,8951","13,51%"
"Set 08","1,9066","1,6422","1,9687","1,6398","16,97%"
"Ago 08","1,6300","1,5610","1,6493","1,5551","4,02%"
"Jul 08","1,5670","1,6039","1,6211","1,5603","-2,31%"
"Jun 08","1,6041","1,6260","1,6522","1,5880","-1,38%"
"Mai 08","1,6265","1,6617","1,7055","1,6241","-2,15%"
"Abr 08","1,6622","1,7559","1,7605","1,6471","-5,36%"
"Mar 08","1,7564","1,6910","1,7651","1,6590","3,84%"
"Fev 08","1,6914","1,7590","1,7820","1,6612","-3,83%"
"Jan 08","1,7588","1,7795","1,8407","1,7285","-1,19%"
