"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Out 00","264,90","272,80","275,00","264,50","0,34K","-3,18%"
"Set 00","273,60","277,50","277,50","272,00","4,27K","-1,69%"
"Ago 00","278,30","276,00","279,00","271,00","3,15K","0,54%"
"Jul 00","276,80","278,50","279,00","276,00","28,66K","-4,58%"
"Jun 00","290,10","272,00","292,50","271,80","3,48K","6,77%"
"Mai 00","271,70","272,70","274,40","271,30","27,36K","-0,51%"
"Abr 00","273,10","278,40","289,50","274,00","1,57K","-1,90%"
"Mar 00","278,40","275,00","279,80","274,50","15,49K","-4,79%"
"Fev 00","292,40","282,30","322,00","282,20","2,67K","3,25%"
"Jan 00","283,20","281,00","288,00","280,50","16,98K","-1,84%"
"Dez 99","288,50","290,80","291,50","275,00","4,59K","-0,55%"
"Nov 99","290,10","290,80","299,70","289,00","26,89K","-3,04%"
"Out 99","299,20","297,90","327,50","296,00","0,55K","0,44%"
"Set 99","297,90","255,50","320,00","254,10","1,30K","16,46%"
"Ago 99","255,80","256,80","262,70","252,50","7,25K","-0,43%"
"Jul 99","256,90","257,30","258,20","252,90","26,99K","-2,36%"
"Jun 99","263,10","266,80","268,50","258,60","4,70K","-2,70%"
"Mai 99","270,40","285,00","285,00","267,90","31,40K","-5,72%"
"Abr 99","286,80","280,40","285,30","277,50","2,22K","2,50%"
"Mar 99","279,80","285,00","293,00","278,20","7,34K","-2,68%"
"Fev 99","287,50","286,80","292,50","285,50","5,04K","0,42%"
"Jan 99","286,30","289,00","289,00","282,10","26,57K","-0,62%"
"Dez 98","288,10","292,00","296,20","285,50","4,77K","-1,50%"
"Nov 98","292,50","292,50","297,00","291,00","25,72K","-0,07%"
"Out 98","292,70","298,50","302,70","291,50","1,03K","-1,25%"
"Set 98","296,40","287,00","296,90","287,00","2,81K","7,51%"
"Ago 98","275,70","286,30","290,00","275,60","6,66K","-3,70%"
"Jul 98","286,30","294,20","294,20","286,00","23,44K","-3,60%"
"Jun 98","297,00","292,20","300,10","284,60","4,39K","1,61%"
"Mai 98","292,30","300,00","300,00","291,20","33,08K","-4,73%"
"Abr 98","306,80","301,00","315,60","299,00","2,50K","2,10%"
"Mar 98","300,50","295,50","303,50","292,80","13,44K","0,47%"
"Fev 98","299,10","301,90","305,50","290,80","4,12K","-1,25%"
"Jan 98","302,90","305,80","306,60","300,60","97,80K","4,74%"
"Dez 97","289,20","296,10","297,70","281,50","18,44K","-2,59%"
"Nov 97","296,90","312,50","312,50","295,10","44,85K","-4,63%"
"Out 97","311,30","336,00","338,00","310,10","0,73K","-6,88%"
"Set 97","334,30","324,90","335,00","324,90","3,53K","3,02%"
"Ago 97","324,50","324,30","328,80","317,00","4,61K","0,12%"
"Jul 97","324,10","331,80","331,80","320,00","79,04K","-3,02%"
"Jun 97","334,20","344,60","345,00","336,50","3,48K","-3,07%"
"Mai 97","344,80","342,40","347,60","340,20","24,03K","1,41%"
"Abr 97","340,00","351,60","351,90","337,00","5,08K","-3,13%"
"Mar 97","351,00","346,00","352,40","346,00","80,50K","-3,76%"
"Fev 97","364,70","345,40","359,50","338,50","9,46K","5,74%"
"Jan 97","344,90","353,70","353,70","344,20","16,67K","-6,35%"
"Dez 96","368,30","371,20","373,50","366,00","8,03K","-1,26%"
"Nov 96","373,00","379,00","379,00","372,50","0,14K","-1,35%"
"Out 96","378,10","377,30","384,00","377,00","0,32K","0,11%"
"Set 96","377,70","386,20","386,30","377,20","4,51K","-2,38%"
"Ago 96","386,90","387,60","390,50","386,00","4,99K","-0,15%"
"Jul 96","387,50","385,00","388,00","384,00","39,52K","1,95%"
"Jun 96","380,10","390,80","391,00","382,30","8,76K","-2,76%"
"Mai 96","390,90","391,30","392,00","389,50","34,89K","-0,26%"
"Abr 96","391,90","395,30","398,00","389,70","5,30K","-0,99%"
"Mar 96","395,80","392,50","400,80","392,50","38,56K","-1,03%"
"Fev 96","399,90","406,80","417,50","396,50","3,35K","-1,41%"
"Jan 96","405,60","387,40","407,30","387,40","38,54K","4,64%"
"Dez 95","387,60","387,60","390,50","385,50","6,61K","0,10%"
"Nov 95","387,20","386,30","389,00","381,80","16,39K","1,10%"
"Out 95","383,00","383,30","386,40","381,60","1,63K","-0,21%"
"Set 95","383,80","386,20","386,20","383,30","4,50K","0,24%"
"Ago 95","382,90","382,00","387,00","381,30","6,82K","0,16%"
"Jul 95","382,30","384,10","387,10","381,60","26,21K","-0,68%"
"Jun 95","384,90","385,00","392,50","383,80","10,47K","-0,05%"
"Mai 95","385,10","388,30","388,30","383,80","25,91K","-0,49%"
"Abr 95","387,00","393,10","397,60","386,00","3,52K","-1,33%"
"Mar 95","392,20","379,00","401,00","378,90","22,10K","4,06%"
"Fev 95","376,90","376,40","381,00","374,50","8,16K","0,40%"
"Jan 95","375,40","377,70","384,50","372,00","18,72K","-2,01%"
"Dez 94","383,10","379,50","383,60","374,50","7,92K","0,63%"
"Nov 94","380,70","384,30","386,70","379,70","32,31K","-0,73%"
"Out 94","383,50","392,60","395,20","385,50","0,77K","-2,71%"
"Set 94","394,20","389,50","395,90","389,50","3,61K","2,05%"
"Ago 94","386,30","383,80","387,30","375,40","13,71K","0,86%"
"Jul 94","383,00","386,70","387,70","381,50","26,64K","-0,73%"
"Jun 94","385,80","387,40","395,70","377,70","8,57K","-0,34%"
"Mai 94","387,10","376,60","388,20","376,60","29,49K","2,79%"
"Abr 94","376,60","392,00","393,00","369,10","4,96K","-3,88%"
"Mar 94","391,80","381,00","394,00","375,00","26,99K","2,73%"
"Fev 94","381,40","381,30","390,50","375,70","4,82K","-0,05%"
"Jan 94","381,60","391,00","391,00","375,30","32,87K","-2,35%"
