"Data","Último","Abertura","Máxima","Mínima","Var%"
"Abr 13","2,0014","2,0014","2,0014","2,0014","-0,60%"
"Mar 13","2,0135","2,0135","2,0135","2,0135","1,94%"
"Fev 13","1,9751","1,9751","1,9751","1,9751","-0,65%"
"Jan 13","1,9880","1,9880","1,9880","1,9880","-2,70%"
"Dez 12","2,0432","2,0432","2,0432","2,0432","-3,03%"
"Nov 12","2,1071","2,1071","2,1071","2,1071","3,74%"
"Out 12","2,0311","2,0311","2,0311","2,0311","0,04%"
"Set 12","2,0303","2,0303","2,0303","2,0303","-0,32%"
"Ago 12","2,0369","2,0369","2,0369","2,0369","-0,62%"
"Jul 12","2,0497","2,0497","2,0497","2,0497","1,42%"
"Jun 12","2,0210","2,0210","2,0210","2,0210","-0,05%"
"Mai 12","2,0220","2,0220","2,0220","2,0220","6,90%"
"Abr 12","1,8915","1,8915","1,8915","1,8915","3,83%"
"Mar 12","1,8218","1,8218","1,8218","1,8218","6,61%"
"Fev 12","1,7089","1,7089","1,7089","1,7089","-1,72%"
"Jan 12","1,7388","1,7388","1,7388","1,7388","-7,29%"
"Dez 11","1,8755","1,8755","1,8755","1,8755","3,58%"
"Nov 11","1,8106","1,8106","1,8106","1,8106","7,25%"
"Out 11","1,6882","1,6882","1,6882","1,6882","-8,94%"
"Set 11","1,8540","1,8540","1,8540","1,8540","16,84%"
"Ago 11","1,5868","1,5868","1,5868","1,5868","1,99%"
"Jul 11","1,5559","1,5559","1,5559","1,5559","-0,31%"
"Jun 11","1,5607","1,5607","1,5607","1,5607","-1,19%"
"Mai 11","1,5795","1,5795","1,5795","1,5795","0,42%"
"Abr 11","1,5729","1,5729","1,5729","1,5729","-3,40%"
"Mar 11","1,6283","1,6283","1,6283","1,6283","-1,96%"
"Fev 11","1,6608","1,6608","1,6608","1,6608","-0,73%"
"Jan 11","1,6730","1,6730","1,6730","1,6730","0,43%"
"Dez 10","1,6658","1,6658","1,6658","1,6658","-2,91%"
"Nov 10","1,7157","1,7157","1,7157","1,7157","0,86%"
"Out 10","1,7010","1,7010","1,7010","1,7010","0,43%"
"Set 10","1,6938","1,6938","1,6938","1,6938","-3,52%"
"Ago 10","1,7556","1,7556","1,7556","1,7556","-0,07%"
"Jul 10","1,7568","1,7568","1,7568","1,7568","-2,46%"
"Jun 10","1,8011","1,8011","1,8011","1,8011","-0,84%"
"Mai 10","1,8163","1,8163","1,8163","1,8163","4,98%"
"Abr 10","1,7302","1,7302","1,7302","1,7302","-2,83%"
"Mar 10","1,7806","1,7806","1,7806","1,7806","-1,66%"
"Fev 10","1,8106","1,8106","1,8106","1,8106","-3,40%"
"Jan 10","1,8744","1,8744","1,8744","1,8744","7,67%"
"Dez 09","1,7408","1,7408","1,7408","1,7408","-0,53%"
"Nov 09","1,7501","1,7501","1,7501","1,7501","0,37%"
"Out 09","1,7436","1,7436","1,7436","1,7436","-1,92%"
"Set 09","1,7777","1,7777","1,7777","1,7777","-5,74%"
"Ago 09","1,8860","1,8860","1,8860","1,8860","0,74%"
"Jul 09","1,8722","1,8722","1,8722","1,8722","-4,05%"
"Jun 09","1,9512","1,9512","1,9512","1,9512","-1,08%"
"Mai 09","1,9726","1,9726","1,9726","1,9726","-9,43%"
"Abr 09","2,1779","2,1779","2,1779","2,1779","-5,91%"
