"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Mai 11","64.620,10","66.119,40","66.500,30","61.658,70","48,36M","-2,29%"
"Abr 11","66.132,90","68.588,10","70.107,70","65.105,30","43,54M","-3,58%"
"Mar 11","68.586,70","67.380,70","68.606,10","65.463,00","45,97M","1,79%"
"Fev 11","67.383,20","66.574,90","68.225,70","64.016,40","48,66M","1,21%"
"Jan 11","66.574,90","69.310,00","71.923,80","65.897,70","41,88M","-3,94%"
"Dez 10","69.304,80","67.731,20","70.589,10","66.947,70","42,49M","2,36%"
"Nov 10","67.705,40","70.686,20","73.103,30","67.102,90","34,13M","-4,20%"
"Out 10","70.673,30","69.438,20","72.139,60","68.847,00","48,43M","1,79%"
"Set 10","69.429,80","65.154,30","69.736,80","65.154,30","43,84M","6,58%"
"Ago 10","65.145,50","67.523,90","68.753,80","63.803,90","38,36M","-3,51%"
"Jul 10","67.515,40","60.934,60","67.608,10","60.055,70","34,78M","10,80%"
"Jun 10","60.935,90","63.033,10","65.830,90","60.935,90","36,58M","-3,35%"
"Mai 10","63.046,50","67.533,80","67.968,70","57.633,90","52,41M","-6,64%"
"Abr 10","67.529,70","70.374,50","71.989,20","65.914,20","34,29M","-4,04%"
"Mar 10","70.371,50","66.510,90","70.486,20","66.510,90","37,82M","5,82%"
"Fev 10","66.503,30","65.402,30","68.119,60","61.341,10","28,14M","1,68%"
"Jan 10","65.401,80","68.587,20","71.068,10","64.541,50","32,87M","-4,65%"
"Dez 09","68.588,40","67.050,80","69.785,40","65.925,20","25,86M","2,30%"
"Nov 09","67.044,40","61.539,20","68.059,60","60.724,00","30,95M","8,93%"
"Out 09","61.545,50","61.519,00","67.529,90","59.677,90","33,94M","0,04%"
"Set 09","61.517,90","56.489,40","62.017,00","55.338,90","28,07M","8,90%"
"Ago 09","56.489,00","54.765,70","58.633,70","54.765,70","27,93M","3,15%"
"Jul 09","54.765,70","51.464,00","55.083,20","48.261,80","29,46M","6,41%"
"Jun 09","51.465,50","53.202,40","54.955,20","49.130,00","30,45M","-3,26%"
"Mai 09","53.197,70","47.289,50","53.805,90","47.289,50","35,24M","12,49%"
"Abr 09","47.289,50","40.917,90","48.125,70","40.256,20","34,55M","15,55%"
"Mar 09","40.925,90","38.179,80","42.680,00","35.721,80","35,34M","7,18%"
"Fev 09","38.183,31","39.296,48","43.441,48","37.324,44","30,07M","-2,84%"
"Jan 09","39.300,79","37.550,31","42.525,21","36.743,71","33,50M","4,66%"
"Dez 08","37.550,31","36.595,87","40.497,88","33.798,48","32,44M","2,61%"
"Nov 08","36.595,87","37.260,65","41.002,95","31.080,99","33,45M","-1,77%"
"Out 08","37.256,84","49.537,66","49.833,82","29.435,11","46,44M","-24,80%"
"Set 08","49.541,27","55.665,33","55.665,33","43.766,34","35,44M","-11,03%"
"Ago 08","55.680,41","59.505,17","59.505,17","52.344,56","22,83M","-6,43%"
"Jul 08","59.505,17","65.017,58","65.017,58","56.417,98","28,04M","-8,48%"
"Jun 08","65.017,58","72.592,50","72.592,50","63.688,90","24,53M","-10,43%"
"Mai 08","72.592,50","67.868,88","73.920,38","67.865,02","25,86M","6,96%"
"Abr 08","67.868,45","60.965,07","68.037,83","60.965,07","21,48M","11,32%"
"Mar 08","60.968,07","63.496,48","65.044,79","57.824,19","48,38M","-3,97%"
"Fev 08","63.489,30","59.490,90","66.005,16","58.029,70","64,97M","6,72%"
"Jan 08","59.490,40","63.884,68","63.906,07","53.010,96","75,01M","-6,88%"
"Dez 07","63.886,10","63.018,43","66.528,63","59.414,24","52,39M","1,40%"
"Nov 07","63.006,16","65.316,79","65.316,86","58.095,92","111,71M","-3,54%"
"Out 07","65.317,70","60.465,06","65.948,88","59.472,98","142,90M","8,03%"
"Set 07","60.465,06","54.641,11","61.054,34","52.320,99","106,33M","10,67%"
"Ago 07","54.637,24","54.170,45","55.615,84","44.937,65","1,15B","0,84%"
"Jul 07","54.182,50","54.396,23","58.292,88","52.627,44","1,06B","-0,39%"
"Jun 07","54.392,06","52.270,96","55.003,28","50.884,50","2,01B","4,06%"
"Mai 07","52.268,46","48.954,51","52.877,49","48.952,66","2,31B","6,77%"
"Abr 07","48.956,39","45.804,66","49.856,49","45.225,23","2,79B","6,88%"
"Mar 07","45.804,66","43.886,08","45.949,59","41.117,02","2,90B","4,36%"
"Fev 07","43.892,31","44.642,33","46.752,13","42.570,93","2,32B","-1,68%"
"Jan 07","44.641,60","44.476,48","45.387,98","41.266,21","2,66B","0,38%"
"Dez 06","44.473,71","41.929,93","44.674,75","41.192,16","1,96B","6,06%"
"Nov 06","41.931,84","39.278,99","42.308,39","39.278,99","3,41B","6,80%"
"Out 06","39.262,79","36.450,33","39.843,16","36.437,55","2,40B","7,72%"
"Set 06","36.449,40","36.232,22","37.739,46","34.127,48","2,39B","0,60%"
"Ago 06","36.232,22","37.077,12","38.172,37","35.122,96","2,36B","-2,28%"
"Jul 06","37.077,12","36.628,58","37.600,63","34.590,83","1,87B","1,22%"
"Jun 06","36.630,66","36.531,41","38.437,12","32.057,32","2,54B","0,28%"
"Mai 06","36.530,04","40.364,79","42.061,59","34.911,34","3,54B","-9,50%"
"Abr 06","40.363,42","37.951,97","40.424,95","37.816,41","2,22B","6,35%"
"Mar 06","37.951,97","38.610,39","39.394,91","36.084,50","2,79B","-1,71%"
"Fev 06","38.610,39","38.382,33","38.978,05","35.891,24","2,61B","0,59%"
"Jan 06","38.382,80","33.461,54","38.803,99","32.860,17","2,55B","14,73%"
"Dez 05","33.455,94","31.920,61","33.837,27","31.920,61","2,29B","4,82%"
"Nov 05","31.916,76","30.193,51","32.350,47","29.948,18","1,76B","5,71%"
"Out 05","30.193,51","31.581,50","32.051,51","28.161,24","2,55B","-4,40%"
"Set 05","31.583,79","28.043,51","31.583,79","27.798,63","2,43B","12,62%"
"Ago 05","28.044,83","26.042,36","28.071,81","25.733,64","2,59B","7,69%"
"Jul 05","26.042,36","25.051,21","26.305,77","24.192,36","2,47B","3,96%"
"Jun 05","25.051,21","25.209,31","26.755,09","24.224,34","2,56B","-0,62%"
"Mai 05","25.207,07","24.847,23","25.808,21","23.679,65","2,24B","1,46%"
"Abr 05","24.843,70","26.612,16","27.178,18","24.154,13","2,55B","-6,64%"
"Mar 05","26.610,65","28.135,07","29.584,21","25.760,87","2,78B","-5,43%"
"Fev 05","28.139,13","24.392,09","28.778,40","24.073,23","2,32B","15,55%"
"Jan 05","24.352,94","26.193,48","26.492,24","23.533,84","2,34B","-7,04%"
"Dez 04","26.196,25","25.129,09","26.269,62","24.451,57","6,91B","4,25%"
"Nov 04","25.128,33","23.049,70","25.160,26","22.940,68","5,29B","9,01%"
"Out 04","23.052,18","23.245,88","24.362,04","22.389,55","4,16B","-0,83%"
"Set 04","23.245,24","22.802,51","23.484,89","21.738,88","4,95B","1,94%"
"Ago 04","22.803,19","22.341,86","23.380,94","21.177,53","5,41B","2,09%"
"Jul 04","22.336,87","21.152,18","22.676,00","20.821,24","5,29B","5,62%"
"Jun 04","21.148,91","19.544,72","21.183,47","19.176,53","5,34B","8,21%"
"Mai 04","19.544,67","19.621,85","20.342,10","17.601,07","7,13B","-0,32%"
"Abr 04","19.607,23","22.142,26","23.260,41","19.508,19","6,51B","-11,45%"
"Mar 04","22.142,26","21.760,52","23.372,87","20.755,57","7,35B","1,78%"
"Fev 04","21.755,02","21.841,74","23.374,24","20.091,65","6,29B","-0,44%"
"Jan 04","21.851,44","22.232,53","24.518,15","21.649,30","8,28B","-1,73%"
"Dez 03","22.236,39","20.183,97","22.310,27","20.183,97","6,87B","10,17%"
"Nov 03","20.183,97","17.982,80","20.187,96","17.982,80","6,40B","12,24%"
"Out 03","17.982,49","16.009,83","18.659,96","16.009,83","8,46B","12,32%"
"Set 03","16.010,67","15.174,49","17.104,03","15.074,71","7,98B","5,51%"
"Ago 03","15.174,49","13.578,72","15.252,36","12.756,58","6,49B","11,81%"
"Jul 03","13.571,73","12.967,27","13.946,96","12.893,22","5,06B","4,62%"
"Jun 03","12.972,58","13.441,01","14.072,35","12.894,51","6,41B","-3,35%"
